Date,ADNT,BG
2020-06-26,15.390000343322754,40.220001220703125
2020-06-29,15.899999618530273,40.810001373291016
2020-06-30,16.420000076293945,41.130001068115234
2020-07-01,16.010000228881836,40.130001068115234
2020-07-02,16.540000915527344,39.779998779296875
2020-07-06,16.979999542236328,40.4900016784668
2020-07-07,17.290000915527344,39.63999938964844
2020-07-08,16.899999618530273,39.189998626708984
2020-07-09,16.010000228881836,38.22999954223633
2020-07-10,16.56999969482422,39.88999938964844
2020-07-13,16.809999465942383,40.5
2020-07-14,17.90999984741211,41.900001525878906
2020-07-15,18.239999771118164,43.22999954223633
2020-07-16,18.110000610351562,42.84000015258789
2020-07-17,17.790000915527344,43.060001373291016
2020-07-20,17.3799991607666,41.90999984741211
2020-07-21,17.690000534057617,42.88999938964844
