,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value
2843,14.404915816939043,14.505661538461538,58.15298761399211,0.049095188548903934,46.96703249155935,53.7434136059147,0.5942716302018966,2011-02-18,9771930.0
2844,14.329153061789889,14.406153846153845,41.77215189873419,-0.035876911250841914,39.93956581900237,52.36302882722347,0.6068236566160469,2011-02-22,9771930.0
2845,14.236910518575282,14.292369230769232,26.968461703497123,-0.12517554315946455,37.47323573073463,50.87404951757458,0.6334791097149006,2011-02-23,9771930.0
2846,14.139455863300261,14.175569230769232,16.023027962525926,-0.20647588960457242,36.14698213491076,49.4013427793082,0.6432306018781221,2011-02-24,9771930.0
2847,14.101805412277166,14.117415384615384,29.661016949152543,-0.2135747263965584,45.04840257440248,48.966048758817635,0.6508569874582563,2011-02-25,9771930.0
2848,14.045512688255846,14.041384615384615,33.19997090274239,-0.2390387754341905,42.42574741776924,48.31201862471279,0.655081488354095,2011-02-28,9771930.0
2849,13.981242481466936,13.957353846153847,36.709827598748795,-0.2690286853590109,40.95833978303579,47.5766507405451,0.651325667757374,2011-03-01,9771930.0
2850,13.919608444431018,13.876676923076923,30.185979971387663,-0.29185236196268605,40.674268729899865,46.886412539480574,0.6326595486318474,2011-03-02,9771930.0
2851,13.883484717936327,13.821630769230769,31.330472103004258,-0.2848697454902087,44.41107114785623,46.63887840031814,0.6174695808724298,2011-03-03,9771930.0
2852,13.840908970402763,13.762646153846152,33.047210300429136,-0.2857253052853874,43.11134814765241,46.28612537505157,0.5983646108101134,2011-03-04,9771930.0
2853,13.77930058806409,13.688923076923075,31.441742171355852,-0.30627338996496967,40.06012943117363,45.663525780663775,0.592767138609391,2011-03-07,9771930.0
2854,13.7508928505207,13.648215384615385,31.566961548567885,-0.28936635215022655,45.3724231786164,45.63441552045904,0.5904266287087203,2011-03-08,9771930.0
2855,13.73467032355757,13.620246153846153,35.37414965986389,-0.26245210483496706,47.14489576156704,45.785463544569836,0.5725390123723831,2011-03-09,9771930.0
2856,13.702003375591604,13.577938461538462,40.89191232048372,-0.2567221150029546,44.40003648610596,45.64692083872345,0.5852576543457843,2011-03-10,9771930.0
2857,13.675695423623019,13.5408,46.25850340136051,-0.2453185945932237,45.14770154675302,45.59699890952641,0.5777321076067997,2011-03-11,9771930.0
2858,13.646795775652018,13.501999999999999,50.23191094619667,-0.2383748837925168,44.376528514355975,45.47495187000936,0.572179814206314,2011-03-14,9771930.0
2859,13.620888408294173,13.467630769230768,59.97340754483614,-0.22942041084276177,44.54654000317869,45.382110683326296,0.6320241131915774,2011-03-15,9771930.0
2860,13.556973915348467,13.397323076923078,54.36796536796541,-0.2612718019978768,38.03617875516103,44.64751749050977,0.6411652479636075,2011-03-16,9771930.0
2861,13.466437460321663,13.30076923076923,40.380952380952436,-0.31595569191145323,33.83713938252326,43.56647967971112,0.6560820159662071,2011-03-17,9771930.0
2862,13.410557655681536,13.236953846153847,30.089535215283764,-0.3264806120213901,40.091003484516236,43.218932060191634,0.6520761576829065,2011-03-18,9771930.0
2863,13.37974552832142,13.1984,35.092101511263245,-0.30946759373691,44.34033578319403,43.33107243249187,0.636927860705556,2011-03-21,9771930.0
2864,13.328995872296696,13.14283076923077,42.11576846307391,-0.3157455128161679,40.97830592093597,43.09579578133628,0.6221472992265877,2011-03-22,9771930.0
2865,13.279842343658489,13.090953846153848,41.11776447105793,-0.3194590333162566,40.63505525866493,42.849721729069145,0.6112796349961173,2011-03-23,9771930.0
2866,13.241392932607837,13.051323076923078,36.526946107784475,-0.3115484407358018,42.19927094901783,42.78467665106402,0.5947596610678233,2011-03-24,9771930.0
2867,13.23513193779185,13.046276923076922,45.30938123752498,-0.2714868831216446,48.38344057318362,43.34455304327598,0.5854911138486931,2011-03-25,9771930.0
2868,13.215506404115555,13.031261538461537,51.097804391217615,-0.25136472962768686,45.87941073260732,43.59803881220911,0.5729560342880721,2011-03-28,9771930.0
2869,13.183544373029743,13.005938461538463,51.49700598802403,-0.2470939286893703,43.45732017214433,43.58396694820263,0.5577448889817812,2011-03-29,9771930.0
2870,13.155579421258224,12.984061538461537,46.61153882710776,-0.23933653275548217,43.81226125848504,43.60679637923087,0.5393345397687968,2011-03-30,9771930.0
2871,13.112073311930668,12.945446153846156,40.10346653631518,-0.2488788973912648,40.65185591383844,43.31130233269163,0.5265249297853113,2011-03-31,9771930.0
2872,13.064221518705233,12.900307692307694,35.27765716215569,-0.2614960902268031,39.323672546929764,42.912539354115445,0.523201720514932,2011-04-01,9771930.0
2873,13.016973709574062,12.855661538461538,22.672615145348942,-0.2715922260355388,38.777906277570914,42.49907604646099,0.510115883335294,2011-04-04,9771930.0
2874,12.965668039606827,12.806153846153846,13.272880408686945,-0.28438444382260464,37.38112104905565,41.98728054672046,0.4929647488113444,2011-04-05,9771930.0
