,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value,AO,WilliamR
2393,37.28565435456802,36.950338461538465,22.01124008817276,-0.6303175198340085,37.29039843280919,41.08671521398679,0.867920661085361,2021-09-17,996384.6599999997,-1.4936823529411782,-82.46073298429316
2394,37.13137325037048,36.802492307692305,17.8205575007007,-0.6966462433385843,34.791757879125754,40.45721948050069,0.9016406138649784,2021-09-20,996384.6599999997,-1.6660352941176484,-80.40089086859683
2395,36.986652231111215,36.66230769230769,18.68977794361723,-0.7430673658183622,34.62879367127816,39.874376899578444,0.8965234271603375,2021-09-21,996384.6599999997,-1.785461764705886,-81.06904231625833
2396,36.905371290256504,36.583999999999996,24.201930215293274,-0.7167241727091493,41.33625230647285,40.02056444026788,0.9146288966488848,2021-09-22,996384.6599999997,-1.7535941176470615,-65.92427616926503
2397,36.82572734485216,36.506123076923075,28.58203414996288,-0.6927034467949937,40.937120974739216,40.11222009371502,0.8967982611739644,2021-09-23,996384.6599999997,-1.7361441176470649,-67.26057906458801
2398,36.70836370294046,36.38833846153846,30.51347316380722,-0.7114598188360972,37.25670078567298,39.82666816291081,0.9082555282329672,2021-09-24,996384.6599999997,-1.6928535294117637,-75.27472527472533
2399,36.66387418732966,36.33870769230769,39.24781376842867,-0.651836351702066,45.0094555674161,40.34494690336135,0.9154158476448985,2021-09-27,996384.6599999997,-1.420018529411763,-39.72125435540065
2400,36.59280694215046,36.26215384615385,44.062372987141124,-0.6288055856944723,42.36080825709407,40.54653303873462,0.935743287098834,2021-09-28,996384.6599999997,-1.1014302941176481,-52.81690140845064
2401,36.54105256198504,36.20341538461539,55.24801760836859,-0.5892366882732034,43.99879479258588,40.89175921411975,0.9196187665917746,2021-09-29,996384.6599999997,-1.059812647058827,-41.71779141104292
2402,36.44712544183234,36.10264615384616,46.91379360004612,-0.5993837152135413,39.92583705334287,40.79516699804206,0.9239317118352195,2021-09-30,996384.6599999997,-1.0175185294117668,-64.72392638036808
2403,36.40273117707601,36.051138461538464,49.974437627811824,-0.5566284375717672,44.95592760424531,41.21124305866239,0.9593651609898468,2021-10-01,996384.6599999997,-0.8643855882352938,-43.634969325153506
2404,36.364059548070166,36.006892307692304,49.7188139059304,-0.5143942065125842,45.22533595061242,41.61265234785739,0.9408390780620004,2021-10-04,996384.6599999997,-0.7378250000000008,-42.48466257668721
2405,36.33682419821862,35.97655384615384,58.53783231083833,-0.46666773822960295,46.263875275374865,42.07777464060914,0.9636362867718574,2021-10-05,996384.6599999997,-0.8062073529411791,-38.26687116564429
2406,36.25245310604796,35.891446153846154,50.94948875255621,-0.48538155666054905,40.478280615876976,41.91782523813593,0.9705194091452963,2021-10-06,996384.6599999997,-0.8043544117647059,-66.39999999999986
2407,36.152264405582734,35.78938461538461,39.11104294478534,-0.5176458696003365,38.524246661077385,41.57846738043008,0.9811965942063464,2021-10-07,996384.6599999997,-0.8970602941176509,-77.99999999999983
2408,36.11132098976868,35.74809230769231,33.78757062146901,-0.4835777857827921,45.116221491200136,41.932242791507086,0.96456826604875,2021-10-08,996384.6599999997,-0.9212341176470602,-54.23728813559328
2409,36.05737322132494,35.7000923076923,34.87570621468927,-0.46812754591682904,43.54030807057451,42.09304931941383,0.9399562470452683,2021-10-11,996384.6599999997,-0.9608076470588287,-63.13559322033908
2410,35.925267588915325,35.578338461538465,28.7955057134361,-0.5360439956410232,36.53729154933883,41.53747354240633,0.9563879436848916,2021-10-12,996384.6599999997,-1.0628385294117635,-96.24060150375934
2411,35.8125546974603,35.4744,21.457935091967183,-0.573573476243844,37.74660489743291,41.15838667790899,0.9773602334216851,2021-10-13,996384.6599999997,-1.210970882352946,-76.25000000000003
2412,35.76235818227105,35.43286153846154,24.378132832080166,-0.5406000097503991,44.402096452872605,41.48275765540536,0.9714773596058501,2021-10-14,996384.6599999997,-1.169397352941182,-54.375000000000135
2413,35.71217678363482,35.38990769230769,37.81249999999993,-0.5125940173723365,44.03991995583746,41.73847388544857,0.956728976776861,2021-10-15,996384.6599999997,-1.072130882352944,-55.93750000000005
2414,35.662009338739836,35.34593846153846,46.202787769784145,-0.4887990772770152,43.65643376720517,41.93026987362423,0.9276697641499418,2021-10-18,996384.6599999997,-1.158901764705881,-51.079136690647395
2415,35.613393235759844,35.30504615384615,46.94169664268588,-0.46697912048123413,43.41217470676123,42.07846035693793,0.9064076381392319,2021-10-19,996384.6599999997,-1.0518135294117599,-52.158273381294926
2416,35.597747602239856,35.29769230769231,52.757793764988016,-0.41424862304315724,47.42481526855785,42.613095848099924,0.9109499497007157,2021-10-20,996384.6599999997,-0.7929017647058885,-38.48920863309362
2417,35.55945932514449,35.27061538461539,53.23741007194244,-0.39294411795015094,44.64363231956222,42.81614949524615,0.8937392390078076,2021-10-21,996384.6599999997,-0.6625488235294057,-49.640287769784116
2418,35.48334706936414,35.20630769230769,48.53047794322678,-0.4140537607638919,40.293000077372696,42.563834553458804,0.88847215050725,2021-10-22,996384.6599999997,-0.6483429411764661,-66.27906976744194
2419,35.422320371720744,35.15483076923077,42.0099316683822,-0.41630144375740485,41.67882752140117,42.475333850253044,0.8678669968995895,2021-10-25,996384.6599999997,-0.6272647058823537,-58.05084745762733
