Date,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,TSLA
2024-05-24,189.97999572753906,180.75,174.78939819335938,200.7100067138672,477.74566650390625,430.1600036621094,106.46025848388672,179.24000549316406
2024-05-28,189.99000549316406,182.14999389648438,176.19776916503906,199.5,479.4440002441406,430.32000732421875,113.89164733886719,176.75
2024-05-29,190.2899932861328,182.02000427246094,175.69834899902344,198.11000061035156,473.88946533203125,429.1700134277344,114.81556701660156,176.19000244140625
2024-05-30,191.2899932861328,179.32000732421875,171.91270446777344,199.3300018310547,466.58673095703125,414.6700134277344,110.49092102050781,178.7899932861328
2024-05-31,192.25,176.44000244140625,172.30224609375,202.6300048828125,466.366943359375,415.1300048828125,109.6240005493164,178.0800018310547
2024-06-03,194.02999877929688,178.33999633789062,172.9714813232422,201.82000732421875,477.0163879394531,413.5199890136719,114.99055480957031,176.2899932861328
2024-06-04,194.35000610351562,179.33999633789062,173.59075927734375,199.16000366210938,476.5168762207031,416.07000732421875,116.42742919921875,174.77000427246094
2024-06-05,195.8699951171875,181.27999877929688,175.20892333984375,197.25999450683594,494.5689697265625,424.010009765625,122.42994689941406,175.0
2024-06-06,194.47999572753906,185.0,176.5273895263672,196.91000366210938,493.270263671875,424.5199890136719,120.9880599975586,177.94000244140625
2024-06-07,196.88999938964844,184.3000030517578,174.260009765625,199.9499969482422,492.4710388183594,423.8500061035156,120.8780746459961,177.47999572753906
2024-06-10,193.1199951171875,187.05999755859375,175.00999450683594,199.61000061035156,502.10150146484375,427.8699951171875,121.77999877929688,173.7899932861328
2024-06-11,207.14999389648438,187.22999572753906,176.6199951171875,194.36000061035156,506.9666442871094,432.67999267578125,120.91000366210938,170.66000366210938
2024-06-12,213.07000732421875,186.88999938964844,177.7899932861328,191.52999877929688,508.3352966308594,441.05999755859375,125.19999694824219,177.2899932861328
2024-06-13,214.24000549316406,183.8300018310547,175.16000366210938,193.66000366210938,503.6000061035156,441.5799865722656,129.61000061035156,182.47000122070312
2024-06-14,212.49000549316406,183.66000366210938,176.7899932861328,193.77999877929688,504.1600036621094,442.57000732421875,131.8800048828125,178.00999450683594
2024-06-17,216.6699981689453,184.05999755859375,177.24000549316406,194.97999572753906,506.6300048828125,448.3699951171875,130.97999572753906,187.44000244140625
2024-06-18,214.2899932861328,182.80999755859375,175.08999633789062,197.0,499.489990234375,446.3399963378906,135.5800018310547,184.86000061035156
2024-06-20,209.67999267578125,186.10000610351562,176.3000030517578,198.6699981689453,501.70001220703125,445.70001220703125,130.77999877929688,181.57000732421875
2024-06-21,207.49000549316406,189.0800018310547,179.6300048828125,196.3000030517578,494.7799987792969,449.7799987792969,126.56999969482422,183.00999450683594
2024-06-24,208.13999938964844,185.57000732421875,179.22000122070312,198.8800048828125,498.9100036621094,447.6700134277344,118.11000061035156,182.5800018310547
2024-06-25,209.07000732421875,186.33999633789062,184.02999877929688,198.07000732421875,510.6000061035156,450.95001220703125,126.08999633789062,187.35000610351562
2024-06-26,213.25,193.61000061035156,183.8800048828125,197.42999267578125,513.1199951171875,452.1600036621094,126.4000015258789,196.3699951171875
2024-06-27,214.10000610351562,197.85000610351562,185.41000366210938,199.1699981689453,519.5599975585938,452.8500061035156,123.98999786376953,197.4199981689453
